id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,main_artist
1PWnjvzT5Jhpfnh96DRNDh,Best I Ever Had,51,258800,0,['Drake'],['3TVXtAsR1Inumwj472S9r4'],1/1/09,0.441,0.904,1,-2.636,1,0.359,0.102,0,0.196,0.529,161.74,4,Drake
32nmTtZNtJq2LQQJlYc96h,My Only Wish (This Year),4,254720,0,['Britney Spears'],['26dSoYclwsYLMAKD3tpOr4'],11/30/07,0.667,0.715,0,-8.017,1,0.0269,0.184,0,0.18600000000000003,0.6779999999999999,147.064,4,Britney
6nx1JCehhu4N9j5qNALyTu,The Crunge - Remaster,34,197704,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],3/28/73,0.531,0.7979999999999999,2,-8.514,1,0.14800000000000002,0.132,0,0.35600000000000004,0.852,112.609,5,Zeppelin
4pW4DF1119GLHiuWE7Jcb4,Thank You - Remaster,48,289485,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/22/69,0.292,0.306,7,-13.158,1,0.0547,0.184,0.0046,0.14400000000000002,0.131,79.406,4,Zeppelin
1pYKzfOlpHWtVUiEIu4Vn7,What's My Name?,53,263173,0,"['Rihanna', 'Drake']","['5pKCCKE2ajJHZ9KAiaK11H', '3TVXtAsR1Inumwj472S9r4']",11/15/10,0.695,0.782,2,-2.967,1,0.0629,0.223,0,0.0773,0.595,99.992,4,Drake
2IRZnDFmlqMuOrYOLnZZyc,Going Bad (feat. Drake),82,180522,1,"['Meek Mill', 'Drake']","['20sxb77xiYeusSH8cVdatc', '3TVXtAsR1Inumwj472S9r4']",11/30/18,0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.00299999999999,4,Drake
4hLQfgtzEyxme6w5GiwAEy,The Rover - 1993 Remaster,56,336907,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],2/24/75,0.36700000000000005,0.752,6,-8.134,0,0.0317,0.0133,0.00979,0.0658,0.401,205.47,4,Zeppelin
2jTujnt0y344ai1rNOywgr,KMT,64,162638,1,"['Drake', 'Giggs']","['3TVXtAsR1Inumwj472S9r4', '3S0tlB4fE7ChxI2pWz8Xip']",3/18/17,0.875,0.6,1,-6.818,1,0.0435,0.0189,0.0143,0.132,0.0906,119.98700000000001,4,Drake
7llNWna9CEKr88Ng4vAwiI,Stairway to Heaven - Sunset Sound Mix,43,483667,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],11/8/71,0.316,0.298,7,-13.803,1,0.0423,0.6559999999999999,0.00337,0.174,0.3,81.993,4,Zeppelin
2y0xzua7r5tBGflKU8NAsD,Over the Hills and Far Away - (Live at MSG 1973) [Remaster],38,371027,0,['Led Zeppelin'],['36QJpDe2go2KgaRleHCDTp'],10/22/76,0.239,0.9129999999999999,2,-7.724,1,0.0814,0.00325,0.0715,0.858,0.376,95.09700000000001,4,Zeppelin
